Сompany name,Phone numbers,Emails,Websites,Street address,City,Country,Postal code
ABV – INVESTMENTS EOOD,['+35952601594'],['office@abvinvest.eu'],['www.abvinvest.eu'],7 Knyaz Boris I Blvd.,Varna,BULGARIA,9002
АВС FINANCE AD,"['+35928164345', '+35928164370', '+359884268876']",['info@abc-finance.eu'],['www.abc-finance.info'],117Todor Aleksandrov Blvd.,Sofia,BULGARIA,1309
ADAMANT CAPITAL PARTNERS AD,"['+35924225973', '+35924225970']",['mvelikov@acp.bg'],['www.acp.bg'],7-9 Chervena Stena Str.,Sofia,BULGARIA,No postal code detected
ALARIC SECURITIES  OOD,['+35924398150'],['info@alaricsecurities.com'],['www.alaricsecurities.com'],20 Todor Aleksandrov Blvd.,Sofia,BULGARIA,1309
ALLIANZ BANK BULGARIA AD,"['+35929215414', '+35929215404', '+35929819307']",['admin@bank.allianz.bg'],['www.bank.allianz.bg'],16 Srebarna Str.,Sofia,BULGARIA,1202
DILINGOVA FINANSOVA KOMPANIA AD,"['+35929872833', '+35929870235']",['dfco@dfcoad.com'],['www.dfcoad.com'],8 Kalina Malina Str.,Sofia,BULGARIA,1111
BALKAN ADVISORY COMPANY – IP EAD,['+35929813559'],['alex@bac.bg'],['IP EAD'],20 Damyan Gruev Str.,Sofia,BULGARIA,1606
MK BROKERS AD,No phones detected,['office@mkb.bg'],['www.mkb.bg'],8 Tsar  Osvoboditel Str.,Sofia,BULGARIA,1504
BENCHMARK FINANCE AD,"['+35929625398', '+35929625396', '+35929625388']",['office@benchmark.bg'],['www.benchmark.bg'],No street address detected,Sofia,BULGARIA,1407
GLOBAL FUNDS EXCHANGE EAD,No phones detected,['info@gfex.bg'],No website detected,No street address detected,Sofia,BULGARIA,1303
BNP PARIBAS S.А. – SOFIA BRANCH,['+35929218550'],['bulgaria_bnpparibas@bnpparibas.com'],['www.bnpparibas.com'],No street address detected,SOFIA,BULGARIA,1000
BULBROKERS EAD,No phones detected,['office@bulbrokers.com'],['www.bulbrokers.com'],14 Tsar  Osvoboditel Blvd.,Sofia,BULGARIA,1000
BULGARIAN AMERICAN CREDIT BANK AD,"['+35929658271', '+35929658333']","['ir@bacb.bg', 'skirilova@bacb.bg', 'ir@baefinvest.com']",['www.bacb.bg'],2 Slavyanska Str.,Sofia,BULGARIA,1504
BULGARIAN DEVELOPMENT BANK ЕAD,No phones detected,['office@bdbank.bg'],"['www.bdbank.bg', 'www.bdbank.bg']",1 Dyakon Ignatiy  Str.,Sofia,BULGARIA,1000
CAPITAL INVEST EAD,['+35929818600'],['office_ci@investcapital.eu'],['www.investcapital.eu'],2 Stefan Karadzha Str.,Sofia,BULGARIA,1000
CAPMAN AD,"['+35924030216', '+35924030200']","['mail@capman.bg', 'mail@capmanbg.com']",['www.capman.bg'],8 Tri ushi Str.,Sofia,BULGARIA,1301
CENTRAL COOPERATIVE BANK AD,['+35929266657'],['office@ccbank.bg'],['www.ccbank.bg'],87 Tsarigradsko Shose Blvd.,Sofia,BULGARIA,1113
CITIBANK EUROPE AD – BULGARIA BRANCH,No phones detected,No emails detected,['www.citibank.bg'],48 Sitnyakovo Blvd.,Sofia,BULGARIA,1505
D COMMERCE BANK AD,"['+35924641100', '+35924641171', '+35929894848', '+35970040400']","['b.israel@dbank.bg', 'dbank@dbank.bg']",['www.dbank.bg'],8 Gen. Totleben Blvd.,Sofia,BULGARIA,1606
DE NOVO EAD,No phones detected,['contact@denovo.bg'],['www.denovo.bg'],28 Hristo Belchev Str.,Sofia,BULGARIA,1000
DELTASTOCK AD,['+35928115050'],['office@deltastock.bg'],['www.deltastock.bg'],6 Korab Planina Str.,Sofia,BULGARIA,1407
DV INVEST EAD,"['+35929350617', '+35929350611']",['office@dvinvest.bg'],['www.dvinvest.bg'],13B Tintyava Str,Sofia,BULGARIA,No postal code detected
DSK BANK EAD,"['+359298557157', '+35929808064']",['call_center@dskbank.bg'],['www.dskbank.bg'],19 Moskovska Str.,Sofia,BULGARIA,1036
ELANA TRADING AD,No phones detected,['info@elana.net'],['www.elana.net'],5 Lachezar Stanchev Str.,Sofia,BULGARIA,No postal code detected
EURO-FINANCE AD,No phones detected,['office@eurofinance.bg'],['www.eurofinance.bg'],43 Hristofor Kolumb Blvd.,Sofia,BULGARIA,1540
EUROBANK BULGARIA AD,No phones detected,"['Equities@postbank.bg', 'RDenkov@postbank.bg']",['www.postbank.bg'],No street address detected,Sofia,BULGARIA,No postal code detected
FACTORI AD,['+359897889493'],['office@factori-bg.com'],['www.factori-bg.com'],12 Mihail Tenev Str.,Sofia,BULGARIA,1407
GRAND KEPITAL OOD,No phones detected,['office@grandcapital.bg'],No website detected,No street address detected,Sofia,BULGARIA,3020
FAVORIT AD,['+35929813469'],"['info@ipfavorit.com', 'favorit@ipfavorit.com']",['www.ipfavorit.com'],25 Angel KanchevStr.,Sofia,BULGARIA,1000
EVER FINANCIAL AD,['+35924003339'],"['info@ever.bg', 'ever@ever.bg']",['www.ever.bg'],No street address detected,Sofia,BULGARIA,1303
FIRST FINANCIAL BROKERAGE HOUSE OOD,"['+35924606401', '+35924606400']",['ffbh@ffbh.bg'],['www.ffbh.bg'],2 Enos Str.,Sofia,BULGARIA,1408
FIRST INVESTMENT BANK AD,['+35928171100'],['fsc@fibank.bg'],['www.fibank.bg'],111 P Tsarigradsko shose Blvd.,No city detected,BULGARIA,1784
FOCAL POINT INVESTMENTS AD,['+35929860911'],['office@focalpoint.bg'],['www.focalpoint.bg'],No street address detected,Sofia,BULGARIA,1303
ING BANK N.V. – SOFIA BRANCH,['+35929176400'],No emails detected,['www.ingcb.bg'],No street address detected,SOFIA,BULGARIA,1404
INTERCAPITAL MARKETS AD,"['+35929210510', '+35929210520', '+35929210521', '+35929210519']","['mayster@intercapitalmarkets.com', 'office@intercapitalmarkets.com']",['www.intercapitalmarkets.com'],140 Georgi Rakovski Str.,Sofia,BULGARIA,1000
INTERNATIONAL ASSET BANK AD,"['+35928120234', '+35929204201']",['iabank@iabank.bg'],['www.iabank.bg'],Todor Alexandrov Blvd.,Sofia,BULGARIA,1303
INVESTBANK AD,No phones detected,['office@ibank.bg'],['www.ibank.bg'],No street address detected,Sofia,BULGARIA,1404
KAROLL AD,"['+35924008426', '+35924008251']",['office@karoll.bg'],['www.karoll.bg'],1 Zlatovrah Str.,Sofia,BULGARIA,1164
MUNICIPAL BANK AD,"['+35929300111', '+35929300215']","['contacts@municipalbank.bg', 'vdoykin@municipalbank.bg', 'kmihaylova@municipalbank.bg']",['www.municipalbank.bg'],6 Vrabcha Str.,Sofia,BULGARIA,1000
REAL FINANCE AD,['+35952603830'],['real-finance@real-finance.net'],['www.real-finance.net'],No street address detected,Varna,BULGARIA,No postal code detected
SOFIA INTERNATIONAL SECURITIES AD,No phones detected,['info@sis.bg'],['www.sis.bg'],140 G.S. Rakovski Str.,SOFIA,BULGARIA,1000
TBI BANK EAD,['+35928163777'],['office@tbibank.bg'],['www.tbibank.bg'],52-54 Dimitar Hadzhikotsev Str.,Sofia,BULGARIA,1421
TEXIM BANK AD,['+35929035505'],['us@teximbank.bg'],['www.teximbank.bg'],117  Todor Alexandrov Blvd.,Sofia,BULGARIA,1309
TOKUDA BANK AD,['+35924037940'],['headoffice@tcebank.com'],['www.tokudabank.bg'],21 George Washington Str.,Sofia,BULGARIA,1000
TRADING 212 EOOD(former name Avus Capital OOD),"['+35924484860', '+35924484850', '+35924484851']",['info@trading212.com'],['www.trading212.com'],3Lachezar Stanchev Str.,Sofia,BULGARIA,1756
UG MARKET EAD,"['+032625401', '+35932625402']",['office@ugmarket.com'],['www.ugmarket.com'],7  Kolyu Ficheto Str.,Plovdiv,BULGARIA,4000
UNICREDIT BULBANK AD,"['+35929269564', '+35929232981', '+35929232194', '+35929232153']",['controlofinvestmentintermediaryandshareholderscapital@unicreditgroup.bg'],['www.unicreditbulbank.bg'],No street address detected,Sofia,BULGARIA,1000
UNITED BULGARIAN BANK AD,['+35928113753'],['inv_control@ubb.bg'],['www.ubb.bg'],No street address detected,Sofia,BULGARIA,1463
EUROBANK BULGARIA AD,No phones detected,['Еquities@postbank.bg'],['www.postbank.bg'],No street address detected,Sofia,BULGARIA,1766
AKSIOM INVEST LTD.,['+359896757855'],"['frontoffice@axiominvest.eu', 'compliance@axiominvest.eu']",['www.axiominvest.eu'],No street address detected,Sofia,BULGARIA,No postal code detected
UP TREND LTD(former name Bull Trend Brokerage OOD),['+35928155660'],['uptrend@uptrend.bg'],"['www.uptrend.bg', 'www.ainvesting.eu', 'www.8invest.eu']",51  Nikola Y. Vaptsarov Blvd.,Sofia,BULGARIA,1407
VARCHEV FINANCE EOOD,"['+359895442999', '+35952631000']",['info@varchev.com'],"['www.varchevbrokers.com', 'www.varchev.com']",186 VladislavVarnenchik Blvd.,VARCHEV,BULGARIA,9000
ZAGORA FINACORP AD,"['+35938660661', '+35938628612']","['zfh@abv.bg', 'office@zf-bg.com']",['www.zf-bg.com'],10 Dobrudzha Str.,Haskovo,BULGARIA,6300
Global Clearing House OOD,No phones detected,No emails detected,No website detected,Srebarna str.,Sofia,No country detected,1407
BRANCHES OF INVESTMENT INTERMEDIARIES FROM OTHER MEMBER STATES,No phones detected,No emails detected,No website detected,No street address detected,No city detected,No country detected,No postal code detected
ADMIRALS EUROPE – Bulgaria Branch,No phones detected,No emails detected,No website detected,37A Frityof Nansen Blvd.,Sofia,Bulgaria,No postal code detected
AMUNDI CZECH REPUBLIC ASSET,No phones detected,No emails detected,No website detected,No street address detected,Sofia,BULGARIA,1000
JFD GROUP – Branch Bulgaria,No phones detected,No emails detected,No website detected,15 Ruse Str.,Varna,Bulgaria,9000
ActivMarkets Empresa de Investimento S.A. Sofia Branch,No phones detected,['sofia@activtrades.eu'],No website detected,No street address detected,Sofia,Bulgaria,1404
